Timestamp,VORFAHRT_GEWAEHREN,FAHRTRICHTUNG_LINKS,VORFAHRTSSTRASSE,STOP,VORFAHRT_VON_RECHTS,FAHRTRICHTUNG_RECHTS,OverallAccuracy,OverallStdDev,ConfidenceIntervalLow,ConfidenceIntervalHigh
2025-01-28 13:36:42,98.14,24.52,52.97,66.00,81.65,53.59,0.56,0.01,0.55,0.57
2025-01-28 13:39:18,52.01,99.40,43.35,91.65,66.60,58.55,0.61,0.01,0.60,0.62
2025-01-28 13:42:00,37.34,55.04,66.61,93.76,55.50,55.83,0.58,0.01,0.57,0.59
2025-01-28 13:44:42,49.22,35.72,90.16,93.21,55.59,51.87,0.58,0.01,0.57,0.59
2025-01-28 13:47:21,89.46,50.47,78.75,80.74,90.54,32.01,0.63,0.01,0.62,0.64
2025-01-28 13:49:59,54.93,57.13,52.10,93.57,34.10,57.86,0.55,0.01,0.54,0.56
2025-01-28 13:52:37,54.58,97.87,44.24,91.56,72.35,53.93,0.61,0.01,0.60,0.62
2025-01-28 13:55:15,52.46,53.85,52.56,64.01,74.89,55.38,0.58,0.01,0.57,0.59
2025-01-28 13:57:54,95.14,56.86,41.78,92.28,89.51,54.16,0.62,0.01,0.61,0.63
2025-01-28 14:00:32,46.49,48.19,57.86,67.14,90.11,38.67,0.53,0.01,0.52,0.54
2025-01-28 14:03:11,95.94,54.81,53.60,59.32,43.69,61.09,0.57,0.01,0.56,0.58
2025-01-28 14:05:59,58.30,78.44,42.13,89.66,91.82,55.39,0.61,0.01,0.60,0.62
2025-01-28 14:08:51,45.22,52.11,48.06,67.21,74.34,53.50,0.54,0.01,0.53,0.55
2025-01-28 14:11:43,49.74,50.57,50.40,93.83,49.00,52.96,0.57,0.01,0.56,0.58
2025-01-28 14:14:34,96.56,53.63,42.72,93.47,78.24,63.99,0.62,0.01,0.61,0.63
2025-01-28 14:17:30,59.81,51.39,56.90,70.11,28.11,53.27,0.51,0.01,0.50,0.52
2025-01-28 14:20:28,52.97,88.22,64.77,92.75,55.90,50.97,0.65,0.01,0.64,0.66
2025-01-28 14:23:30,90.68,53.94,48.96,66.94,43.19,55.08,0.57,0.01,0.56,0.58
2025-01-28 14:26:30,87.62,29.18,68.32,90.47,87.60,53.61,0.62,0.01,0.61,0.63
2025-01-28 14:29:35,87.95,53.25,41.55,92.73,64.95,63.59,0.60,0.01,0.59,0.61
2025-01-28 14:32:38,88.34,56.40,41.11,92.96,62.60,56.17,0.59,0.01,0.58,0.60
2025-01-28 14:35:40,54.81,26.57,71.78,77.21,62.87,54.71,0.58,0.01,0.57,0.59
2025-01-28 14:38:43,74.30,47.95,46.59,95.42,51.51,52.07,0.58,0.01,0.57,0.59
2025-01-28 14:41:46,94.40,51.26,41.64,93.06,93.38,52.42,0.61,0.01,0.60,0.62
2025-01-28 14:44:51,77.59,51.24,46.45,95.98,59.25,56.98,0.60,0.01,0.59,0.61
2025-01-28 14:47:53,87.58,33.71,57.13,59.05,72.05,48.70,0.56,0.01,0.55,0.57
2025-01-28 14:50:53,52.27,54.55,63.88,37.94,69.42,57.72,0.54,0.01,0.53,0.55
2025-01-28 14:53:53,95.61,55.65,40.72,93.98,92.83,56.25,0.62,0.01,0.61,0.63
2025-01-28 14:56:57,59.11,58.02,46.51,93.36,54.63,62.25,0.59,0.01,0.58,0.60
2025-01-28 15:00:00,63.90,50.45,43.62,86.95,56.20,54.87,0.56,0.01,0.55,0.57
2025-01-28 15:03:05,63.73,56.12,74.50,59.87,91.40,41.71,0.62,0.01,0.61,0.63
2025-01-28 15:06:00,96.96,33.24,66.28,60.76,72.59,46.88,0.58,0.01,0.57,0.59
2025-01-28 15:08:55,56.06,56.32,63.65,85.25,31.86,53.41,0.54,0.01,0.53,0.55
2025-01-28 15:11:49,38.63,56.92,61.17,75.09,41.05,58.27,0.53,0.01,0.52,0.54
2025-01-28 15:14:45,47.82,48.01,51.25,94.28,68.89,52.10,0.58,0.01,0.57,0.59
2025-01-28 15:17:39,56.16,50.90,44.90,94.06,88.02,52.73,0.58,0.01,0.57,0.59
2025-01-28 15:20:32,97.64,51.12,42.48,93.87,83.47,51.93,0.61,0.01,0.60,0.62
2025-01-28 15:23:28,59.32,91.11,42.15,92.06,56.20,61.44,0.60,0.01,0.59,0.61
2025-01-28 15:26:22,64.73,59.57,46.77,86.22,51.99,53.23,0.57,0.01,0.56,0.58
2025-01-28 15:29:15,32.75,51.18,56.85,64.64,68.53,57.12,0.54,0.01,0.53,0.55
2025-01-28 15:31:58,97.33,48.58,45.45,93.88,89.78,50.00,0.63,0.01,0.62,0.64
2025-01-28 15:34:41,59.92,52.82,45.87,94.45,33.98,58.29,0.53,0.01,0.52,0.54
2025-01-28 15:37:25,48.35,53.42,50.96,88.42,66.38,58.71,0.59,0.01,0.58,0.60
2025-01-28 15:40:07,52.69,50.80,81.59,88.92,39.20,50.78,0.60,0.01,0.59,0.61
2025-01-28 15:42:48,54.71,32.73,55.17,49.48,96.37,54.00,0.52,0.01,0.51,0.53
2025-01-28 15:45:33,48.68,52.30,76.90,64.93,74.15,47.08,0.60,0.01,0.58,0.61
2025-01-28 15:48:23,56.76,50.80,46.44,93.27,87.61,52.21,0.59,0.01,0.58,0.60
2025-01-28 15:51:21,54.21,55.58,75.42,69.95,89.34,54.86,0.66,0.01,0.65,0.67
2025-01-28 15:54:19,97.46,54.04,42.23,93.51,55.48,56.37,0.59,0.01,0.58,0.60
2025-01-28 15:57:07,86.38,24.52,45.79,61.74,89.53,57.52,0.55,0.01,0.54,0.56
2025-01-28 15:59:52,42.10,51.03,41.01,86.33,85.36,53.19,0.56,0.01,0.55,0.57
2025-01-28 16:02:48,80.18,53.91,41.64,93.73,69.65,55.00,0.60,0.01,0.59,0.61
2025-01-28 16:05:52,42.01,50.15,81.82,93.53,57.58,52.08,0.62,0.01,0.61,0.63
2025-01-28 16:08:51,19.73,93.92,58.08,82.21,95.74,53.56,0.60,0.01,0.59,0.61
2025-01-28 16:11:48,57.51,60.26,65.36,71.61,92.07,53.76,0.66,0.01,0.65,0.67
2025-01-28 16:14:45,54.17,62.37,47.63,92.01,74.85,54.00,0.60,0.01,0.59,0.61
2025-01-28 16:17:42,62.19,50.34,43.85,92.87,71.79,54.62,0.58,0.01,0.57,0.59
2025-01-28 16:20:49,77.18,51.98,45.58,90.20,70.95,53.26,0.60,0.01,0.59,0.61
2025-01-28 16:23:37,69.15,62.91,43.94,91.27,93.33,56.78,0.62,0.01,0.61,0.63
2025-01-28 16:26:24,77.78,39.47,76.83,79.54,64.75,53.91,0.66,0.01,0.65,0.67
2025-01-28 16:29:08,92.72,54.10,43.52,91.18,85.46,53.19,0.62,0.01,0.61,0.63
2025-01-28 16:32:07,49.04,52.16,41.35,89.10,70.54,57.62,0.58,0.01,0.57,0.59
2025-01-28 16:35:09,92.79,57.14,45.01,93.83,63.32,62.17,0.63,0.01,0.62,0.64
2025-01-28 16:37:54,30.29,55.02,85.52,64.20,42.89,54.97,0.53,0.01,0.52,0.54
2025-01-28 16:40:36,86.76,54.26,43.18,90.08,85.08,53.76,0.61,0.01,0.60,0.62
2025-01-28 16:43:18,57.54,50.43,47.03,88.60,67.60,52.44,0.57,0.01,0.56,0.58
2025-01-28 16:45:59,93.00,48.43,77.32,71.29,93.17,34.83,0.63,0.01,0.62,0.64
2025-01-28 16:48:40,54.40,42.80,49.37,57.97,57.02,53.58,0.52,0.01,0.51,0.53
2025-01-28 16:51:23,51.45,34.73,71.72,91.80,55.52,52.74,0.60,0.01,0.59,0.61
2025-01-28 16:54:06,73.09,53.55,41.33,94.63,64.10,54.73,0.58,0.01,0.57,0.59
2025-01-28 16:56:51,69.14,53.18,45.08,91.54,63.85,53.10,0.58,0.01,0.57,0.59
2025-01-28 16:59:43,57.75,54.47,48.63,92.94,33.05,59.01,0.54,0.01,0.52,0.55
2025-01-28 17:02:34,96.32,53.46,41.84,88.85,59.30,54.67,0.59,0.01,0.58,0.60
2025-01-28 17:05:19,41.52,58.05,72.10,60.66,48.71,58.09,0.56,0.01,0.55,0.57
2025-01-28 17:08:18,54.35,65.04,86.92,91.59,45.61,53.74,0.65,0.01,0.64,0.66
2025-01-28 17:11:09,58.09,52.23,50.09,91.81,62.20,39.06,0.58,0.01,0.57,0.59
2025-01-28 17:14:05,60.62,51.82,42.92,84.66,53.00,56.48,0.55,0.01,0.54,0.56
2025-01-28 17:17:02,51.69,37.45,79.02,95.64,58.75,53.43,0.62,0.01,0.61,0.63
2025-01-28 17:19:46,73.05,51.81,41.82,79.49,47.74,55.93,0.54,0.01,0.53,0.55
2025-01-28 17:22:31,43.04,50.16,75.39,94.98,33.86,54.61,0.55,0.01,0.54,0.56
2025-01-28 17:25:17,90.41,50.17,56.10,58.78,57.02,25.75,0.53,0.01,0.52,0.54
2025-01-28 17:28:11,68.22,55.47,42.64,91.64,66.86,55.73,0.59,0.01,0.58,0.60
2025-01-28 17:31:02,70.36,54.88,43.72,91.27,55.24,60.33,0.59,0.01,0.57,0.60
2025-01-28 17:33:56,63.64,52.86,50.58,66.24,64.59,52.79,0.58,0.01,0.57,0.59
2025-01-28 17:36:52,93.42,50.24,50.07,50.17,34.64,52.32,0.52,0.01,0.51,0.53
2025-01-28 17:39:56,36.22,75.47,55.81,82.15,50.41,60.92,0.55,0.01,0.54,0.56
2025-01-28 17:42:45,96.21,52.64,40.42,85.51,86.98,54.79,0.59,0.01,0.58,0.60
2025-01-28 17:45:46,45.06,47.44,71.20,93.84,55.44,52.30,0.61,0.01,0.60,0.62
2025-01-28 17:48:49,94.08,47.47,46.01,91.20,78.83,51.49,0.62,0.01,0.61,0.63
2025-01-28 17:51:42,91.65,50.91,45.47,94.48,83.12,52.51,0.63,0.01,0.62,0.64
2025-01-28 17:54:34,41.00,57.55,47.49,53.28,60.25,54.10,0.51,0.01,0.50,0.52
2025-01-28 17:57:32,96.09,56.12,44.87,91.86,51.49,65.38,0.60,0.01,0.59,0.61
2025-01-28 18:00:35,66.63,57.32,45.13,90.89,66.07,54.62,0.59,0.01,0.58,0.60
2025-01-28 18:03:21,23.77,52.26,46.14,58.14,72.92,57.36,0.46,0.01,0.45,0.47
2025-01-28 18:06:08,84.78,50.47,43.22,91.96,87.95,53.99,0.61,0.01,0.60,0.62
2025-01-28 18:09:10,47.48,48.05,38.64,88.94,79.60,51.90,0.56,0.01,0.55,0.57
2025-01-28 18:12:15,46.57,52.35,51.06,93.66,47.71,57.04,0.57,0.01,0.56,0.58
2025-01-28 18:15:21,56.23,40.32,54.26,89.24,87.84,52.54,0.63,0.01,0.62,0.64
2025-01-28 18:18:25,52.61,88.51,39.89,92.36,53.99,57.11,0.57,0.01,0.56,0.58
2025-01-28 18:21:26,48.13,53.28,88.78,94.38,57.38,53.84,0.65,0.01,0.64,0.66
